id,plate,plate recognized,number of matches,match
0,ODJ1599,0DJH599,5,False
1,OUG6157,,0,False
2,PWF3266,PW3266,6,False
3,PJD2685,PJD26B5,6,False
4,OUP1442,,0,False
5,OUW5216,0UW52H6,5,False
6,PJI5921,PJ15921,6,False
7,JQS5683,,0,False
8,PJG0783,PJG0783,7,True
9,OVK3653,W0VK3653,6,False
10,JQV5526,J0V5526,6,False
11,NYM7544,,0,False
12,NTD9247,NTD9247,7,True
13,NZF7823,,0,False
14,OLE5095,0LE5095,6,False
15,PXP8172,PP8H72,5,False
16,NYL3614,,0,False
17,NZO6276,NU06276,5,False
18,PJF5797,PJF5797,7,True
19,JSK5419,JS54H9,5,False
20,OLC4728,0UC4728,5,False
21,PWC0633,UC0633,5,False
22,NTH0518,NTH05H8,6,False
23,PJI7589,PJ7589,6,False
24,PJU2853,PJU2853,7,True
25,OZC8400,0ZC8400,6,False
26,OKK7448,,0,False
27,JRD2238,,0,False
28,JSQ1413,J50T4I3,3,False
29,OKV8004,V80D4,4,False
30,OKL0817,0KL087,5,False
31,OKM0944,,0,False
32,NTV0498,,0,False
33,OZV6697,0ZV6697,6,False
34,PVX0095,GPVX00,5,False
35,NYY1710,NYYH710,6,False
36,OLC7676,0LC7676,6,False
37,ODC9387,C938,4,False
38,OZS6477,,0,False
39,PJT4884,,0,False
40,OUZ2198,0UZ2H98,5,False
41,OKP7250,,0,False
42,OZR2224,0ZR2224,6,False
43,PJB7392,J7,2,False
44,JRK5336,,0,False
45,OZK4620,0ZK4620,6,False
46,PJJ4955,W,0,False
47,OUQ6314,0U063H4,4,False
48,OZU5764,0ZU5764,6,False
49,OUM7311,0UN73HH,3,False
50,JST2699,J5T2699,6,False
51,OCX4764,0CX4764,6,False
52,MYX3152,WYX3U52,5,False
53,JPQ9870,,0,False
54,PJK4867,PJK4867,7,True
55,OZK6717,,0,False
56,JSP7678,H,0,False
57,OLA1208,U0LA208,5,False
58,OZU2104,,0,False
59,PJU2207,PJU2207,7,True
60,OUP9563,,0,False
61,JSC7486,,0,False
62,JOG9221,J0G922,5,False
63,JGZ3298,GZ3298,6,False
64,PJJ1406,,0,False
65,OUN4297,0UN4297,6,False
66,PJT2905,,0,False
67,PJF4224,PJF4224,7,True
68,OKM2371,,0,False
69,OZL2318,Z,1,False
70,OLB4809,0LB4809,6,False
71,JRV1942,JVU942,5,False
72,MXQ1601,X,1,False
73,PJI5396,BPJ539B6,6,False
74,PJY8509,,0,False
75,OKT3896,0KT3896,6,False
76,PJX5721,PJX57U21,7,False
77,OZG3580,02G35B0,4,False
78,OZP8126,,0,False
79,NZM5430,NU5430,5,False
80,PYB6477,,0,False
81,PJV9741,,0,False
82,NZP8292,NZP8292,7,True
83,NYZ0897,NY097,5,False
84,PJH0957,,0,False
85,NZJ6581,,0,False
86,NTO1053,,0,False
87,AZJ6991,AZJ699,6,False
88,JIT7463,,0,False
89,JSG9648,JSG9648,7,True
90,OUH9191,0UH9H9H,4,False
91,OKS0078,,0,False
92,GWT2180,CGWT289,5,False
93,MTW5608,NTV5608,5,False
94,NYI3834,NY3834,6,False
95,HPM9362,HPM9362,7,True
96,PJP8208,PJP8208,7,True
97,OVA1319,,0,False
98,FZB9581,,0,False
99,PJP2783,,0,False
100,PJB2414,WPJB244,6,False
101,PJY5472,PJY5472,7,True
102,PAG5219,PAG52H9,6,False
103,NZU2673,,0,False
104,NTK5785,,0,False
105,NZF0384,,0,False
106,AYO9034,AY09034,6,False
107,OKL1235,0KLH235,5,False
108,OEL1145,,0,False
109,JIY4434,U,0,False
110,PJC4903,,0,False
111,PUT6858,,0,False
112,NZW2197,NZV297,5,False
113,OYJ9557,0YJ9557,6,False
